0,F,11:15:39.766
1,F,11:15:39.894
0,O,11:15:39.902
1,O,11:15:39.997
0,R,11:15:40.005
1,R,11:15:40.117
0,M,11:15:40.125
1,M,11:15:40.214
0,E,11:15:40.230
0,R,11:15:40.317
1,E,11:15:40.374
1,R,11:15:40.430
0,Space,11:15:40.502
1,Space,11:15:40.614
0,P,11:15:40.645
0,A,11:15:40.717
1,P,11:15:40.733
0,R,11:15:40.781
1,A,11:15:40.829
1,R,11:15:40.910
0,T,11:15:40.998
1,T,11:15:41.094
0,Space,11:15:41.126
1,Space,11:15:41.222
0,N,11:15:41.294
1,N,11:15:41.382
0,U,11:15:41.462
1,U,11:15:41.542
0,M,11:15:41.630
1,M,11:15:41.702
0,B,11:15:41.797
1,B,11:15:41.886
0,E,11:15:41.934
0,R,11:15:42.014
1,E,11:15:42.069
1,R,11:15:42.142
0,Space,11:15:42.174
1,Space,11:15:42.286
0,E,11:15:42.317
1,E,11:15:42.397
0,N,11:15:42.406
1,N,11:15:42.486
0,O,11:15:42.534
1,O,11:15:42.638
0,U,11:15:42.669
1,U,11:15:42.758
0,G,11:15:42.766
1,G,11:15:42.838
0,H,11:15:42.870
1,H,11:15:42.950
0,Space,11:15:43.086
1,Space,11:15:43.198
0,N,11:15:43.357
1,N,11:15:43.446
0,O,11:15:43.486
1,O,11:15:43.597
0,T,11:15:43.606
1,T,11:15:43.709
0,Back,11:15:44.014
1,Back,11:15:44.102
0,Back,11:15:44.174
0,A,11:15:44.254
1,Back,11:15:44.270
0,T,11:15:44.357
1,A,11:15:44.381
1,T,11:15:44.469
0,I,11:15:44.478
0,O,11:15:44.557
1,I,11:15:44.605
1,O,11:15:44.662
0,N,11:15:44.725
1,N,11:15:44.821
0,Space,11:15:44.926
1,Space,11:15:45.045
0,C,11:15:45.437
0,O,11:15:45.549
1,C,11:15:45.597
1,O,11:15:45.629
0,N,11:15:45.702
1,N,11:15:45.797
0,S,11:15:45.949
1,S,11:15:46.093
0,I,11:15:46.109
1,I,11:15:46.182
0,D,11:15:46.206
1,D,11:15:46.294
0,E,11:15:46.382
0,R,11:15:46.477
1,E,11:15:46.493
1,R,11:15:46.598
0,Space,11:15:46.614
0,S,11:15:46.709
1,Space,11:15:46.726
0,O,11:15:46.782
1,S,11:15:46.830
1,O,11:15:46.894
0,M,11:15:46.926
1,M,11:15:47.021
0,E,11:15:47.037
0,Space,11:15:47.126
1,E,11:15:47.134
1,Space,11:15:47.238
0,F,11:15:47.366
0,A,11:15:47.477
1,F,11:15:47.501
1,A,11:15:47.589
0,T,11:15:47.630
1,T,11:15:47.726
0,H,11:15:47.797
1,H,11:15:47.878
0,E,11:15:47.917
0,R,11:15:48.014
1,E,11:15:48.054
1,R,11:15:48.149
0,Space,11:15:48.190
1,Space,11:15:48.278
0,A,11:15:48.326
1,A,11:15:48.438
0,N,11:15:48.446
1,N,11:15:48.517
0,O,11:15:48.574
0,T,11:15:48.629
1,O,11:15:48.661
1,T,11:15:48.717
0,H,11:15:48.741
1,H,11:15:48.830
0,E,11:15:48.830
0,R,11:15:48.934
1,E,11:15:48.982
1,R,11:15:49.045
0,Space,11:15:49.173
1,Space,11:15:49.286
0,K,11:15:49.669
1,K,11:15:49.749
0,E,11:15:49.814
1,E,11:15:49.870
0,E,11:15:49.934
1,E,11:15:50.021
0,P,11:15:50.086
1,P,11:15:50.174
0,Space,11:15:50.246
1,Space,11:15:50.349
0,P,11:15:50.485
1,P,11:15:50.566
0,E,11:15:50.606
0,A,11:15:50.734
1,E,11:15:50.765
0,N,11:15:50.846
1,A,11:15:50.854
1,N,11:15:50.933
0,U,11:15:51.038
